"region","avg_median_sale_price"
"Clark County, WA",478634.6
"Warren County, GA",140357.142857143
"Winona County, MN",223387.923076923
"Cass County, IL",110776.315789474
"Champaign County, IL",186603.76
"Dickinson County, MI",149498.518518519
"Sullivan County, MO",131710
"Jenkins County, GA",160322.222222222
"Sauk County, WI",270416.666666667
"Oneida County, NY",159265.861111111
"Dallas County, IA",326525.323529412
"Magoffin County, KY",157375
"Alexandria, VA",713741.768292683
"Union County, GA",367359.090909091
"Riverside County, CA",530513.47
"Hamilton County, OH",233387.738095238
"Lee County, VA",137476.19047619
"Stark County, ND",240354.545454545
"Woodford County, IL",201625.357142857
"Walworth County, WI",320160.975609756
"Caddo County, OK",139447.619047619
"Clark County, IL",117425
"Lynn County, TX",311468.95
"Salt Lake County, UT",504905.26
"Lincoln County, NC",366990.855263158
"Otsego County, NY",192059.862068966
"Elkhart County, IN",207822.263157895
"Lea County, NM",230376.5625
"Logan County, OK",326114.136363636
"Dutchess County, NY",365347.9
"Lincoln County, NM",389162.43902439
"Howard County, IA",151619.047619048
"Hickman County, TN",264200.227272727
"Fisher County, TX",144437.5
"Wichita County, TX",168371.448275862
"Boone County, IN",334972.193181818
"Milam County, TX",267220
"Crawford County, KS",129375.84
"Dodge County, WI",223273.75
"Davis County, UT",472910.239583333
"Tillman County, OK",93650
"Lyon County, KY",311280
"Pulaski County, KY",232213.333333333
"Portsmouth, VA",222302.95
"Sebastian County, AR",209789.5875
"Sumter County, SC",199991.9875
"Franklin County, AR",157150
"Jefferson County, PA",103700
"Chesterfield County, SC",277092.857142857
"Johnson County, AR",169144.388888889
"Bethel Census Area, AK",469227.272727273
"Floyd County, GA",226431.829268293
"Floyd County, KY",131373.75
"Shelby County, TN",222212.7
"Los Alamos County, NM",510759.756097561
"Queens County, NY",734979.97
"Ford County, KS",215902.272727273
"Benton County, MN",258321.566666667
"Pender County, NC",454981.743902439
"Breckinridge County, KY",205791.304347826
"Alleghany County, NC",322564.166666667
"Box Elder County, UT",386742.567567568
"Perry County, TN",186140
"Benton County, MO",209620
"Middlesex County, VA",349606.481481481
"Mille Lacs County, MN",268705.357142857
"McDonough County, IL",94682.6
"Poquoson, VA",386019.529411765
"Effingham County, GA",311062.821428571
"Lamar County, AL",110782.5
"Grand County, UT",571794.097560976
"Coffey County, KS",133520
"Lincoln County, OR",479953.135135135
"Rapides Parish, LA",154275
"Henderson County, NC",396268.944444444
"Wayne County, OH",191837.804878049
"Morgan County, KY",180577.272727273
"Logan County, OH",222920.588235294
"Clay County, SD",189586.956521739
"Cibola County, NM",137310
"Sedgwick County, CO",139277.777777778
"Catron County, NM",300865
"Carson County, TX",163823.80952381
"Putnam County, TN",328022.314814815
"Lee County, SC",255810
"Hall County, NE",243482.586206897
"Bradford County, PA",162546.551724138
"Marshall County, IN",283534.34375
"Clayton County, GA",233353.55
"Tooele County, UT",389340.12195122
"Grant County, WI",193372.727272727
"Hubbard County, MN",278359.615384615
"Chatham County, GA",336052.89
"Sevier County, AR",186050
"Warrick County, IN",298361.859375
"Hamilton County, TX",234147.619047619
"St. Francis County, AR",112280
"Redwood County, MN",155045.818181818
"Liberty County, GA",185964.813953488
"Knott County, KY",149500
"Decatur County, TN",176940
"Archuleta County, CO",487172.916666667
"Parmer County, TX",217983.333333333
"Rhea County, TN",284878.260869565
"Callahan County, TX",182760
"Barry County, MI",260564.967741935
"Halifax County, VA",201445.454545455
"Sabine Parish, LA",354135
"Madison County, TN",222287.484848485
"Nevada County, CA",625534.88372093
"Orange County, VA",358043.948275862
"Kearney County, NE",173593.738095238
"Fayette County, IA",103076.727272727
"Shelby County, MO",105278.947368421
"Mobile County, AL",205952.040816327
"Union County, OH",362965.220588235
"Modoc County, CA",323428.571428571
"Yalobusha County, MS",141802.125
"Navarro County, TX",252486.410714286
"Lawrence County, OH",110629.204545455
"Bingham County, ID",360640.384615385
"Navajo County, AZ",385718.25
"Gregg County, TX",233238.881578947
"Fulton County, OH",187281.471428571
"Leavenworth County, KS",265511.75
"Clay County, GA",371200
"Dodge County, GA",162895.652173913
"Bronx County, NY",552186.5
"Winston County, AL",344094.230769231
"Martin County, IN",167165
"Wayne County, PA",254057.407407407
"Story County, IA",253529.787234043
"Dubuque County, IA",219885.4375
"Medina County, OH",263282.821428571
"Benton County, MS",168746.4
"Crowley County, CO",206173.111111111
"Hood River County, OR",681738.722222222
"Costilla County, CO",238888.888888889
"Toombs County, GA",211107.142857143
"Macomb County, MI",231815
"New Kent County, VA",368685.578125
"Marin County, CA",1221500
"Dawson County, NE",174425
"Dorchester County, SC",322864.67
"Charles County, MD",393669.375
"San Saba County, TX",295165.625
"Attala County, MS",119444.444444444
"Union County, KY",126294.4375
"Morgan County, UT",689917
"Charlotte County, FL",351230.132653061
"Livingston County, MI",342143.882352941
"Caldwell County, NC",263656.857142857
"Worcester County, MA",414891.15
"Carlisle County, KY",108577.777777778
"Sanders County, MT",519995.238095238
"Waseca County, MN",230089.666666667
"Allegany County, MD",110769.065217391
"Union County, IA",118068.181818182
"Ocean County, NJ",438998.39
"Cass County, MO",271265.131578947
"Hampshire County, MA",354012.38
"Stutsman County, ND",182855.483870968
"Noble County, IN",185475.806451613
"Cape Girardeau County, MO",208042.666666667
"Sanborn County, SD",128000
"Christian County, KY",207421.428571429
"Evangeline Parish, LA",101719.047619048
"Union Parish, LA",188675
"Spalding County, GA",206492.5
"Dorchester County, MD",254972.320512821
"Lincoln County, GA",298764.75
"Gove County, KS",142700
"Hillsdale County, MI",214291.967741935
"Newton County, MO",214143.47826087
"Calhoun County, FL",210428.571428571
"Houston County, GA",218107.3
"Summit County, OH",203146.21
"Bulloch County, GA",237195.384615385
"Osborne County, KS",92625
"Cambria County, PA",80754.6052631579
"Christian County, IL",100284.482758621
"Manistee County, MI",229234.722222222
"Broward County, FL",448890
"Dodge County, MN",259842.24137931
"Clatsop County, OR",489344.581395349
"Chippewa County, MI",142367.857142857
"Brown County, SD",216627.5
"Switzerland County, IN",198083.333333333
"Pike County, MS",164943.47826087
"Grayson County, VA",205640
"Dent County, MO",159600
"Duval County, TX",144750
"Prince William County, VA",486673.285714286
"Graves County, KY",167395
"Gladwin County, MI",163750
"Hill County, TX",246325
"Page County, IA",153599.75
"Stewart County, TN",284484.090909091
"Ontonagon County, MI",102125
"Scott County, IA",229571.95
"Bennington County, VT",364297.948979592
"Fairfax County, VA",607814.976744186
"Socorro County, NM",173212.5
"Day County, SD",221850
"Kern County, CA",306477.829545455
"St. Clair County, IL",166525.628205128
"Lawrence County, TN",255533.333333333
"Lewis County, KY",106646.1
"Jefferson County, OH",118830
"Vanderburgh County, IN",167218.75
"Luzerne County, PA",197237.244897959
"Rich County, UT",550899.359375
"Lincoln County, WY",521708.571428571
"Rockingham County, VA",286197.833333333
"Kosciusko County, IN",256295.588235294
"Pendleton County, KY",162206.52173913
"Mifflin County, PA",149262.162162162
"Richland County, MT",272091.666666667
"Delaware County, OK",297821.283783784
"Limestone County, AL",302351.94047619
"Pulaski County, AR",204224.46875
"Buncombe County, NC",461024.458333333
"Benzie County, MI",303120
"Wheeler County, TX",147520
"Rockdale County, GA",288295.071428571
"Franklin Parish, LA",153347.5
"Perkins County, SD",124000
"Burlington County, NJ",308942.82
"Orleans County, NY",141626.767857143
"Conecuh County, AL",116933.333333333
"Saline County, MO",140516.666666667
"Oconee County, SC",303507.2875
"Lake County, FL",351376.969387755
"Columbia County, PA",182293.171428571
"Johnson County, MO",240696.7
"Pawnee County, OK",174175
"Adams County, IL",147062.182926829
"Iowa County, IA",166435
"Knox County, OH",245602.777777778
"Russell County, VA",187651.904761905
"Fayette County, GA",397594.426829268
"Moniteau County, MO",175871.428571429
"Hockley County, TX",209580.769230769
"Franklin City County, VA",239329
"Josephine County, OR",375367.731707317
"Macon County, TN",297332.166666667
"Wyandot County, OH",156931.818181818
"Franklin County, OH",287358.536585366
"Crawford County, IA",148600
"Hartford County, CT",290008.511111111
"Rains County, TX",286315
"Tompkins County, NY",322546.219512195
"Benton County, IN",156431.428571429
"Las Animas County, CO",217066.666666667
"Berks County, PA",230414
"Charles City County, VA",363916.722222222
"Yolo County, CA",588889.4
"Montrose County, CO",391093.75
"Clay County, MO",270212.244897959
"Lincoln County, MN",148944.333333333
"Henderson County, IL",118140
"Holmes County, MS",105704.166666667
"Tuscola County, MI",163831.034482759
"Green County, WI",247196.428571429
"Washington County, PA",226738.27
"Middlesex County, NJ",441109
"Columbia County, OR",446340.178571429
"Roscommon County, MI",169457.692307692
"Franklin County, ID",389850
"Valley County, ID",743276
"Presque Isle County, MI",187533.333333333
"Ste. Genevieve County, MO",200132.5
"De Baca County, NM",101233.333333333
"Fayette County, IL",117153.318181818
"Dallas County, TX",370651.49
"Utah County, UT",481188.65
"Tensas Parish, LA",593750
"Doniphan County, KS",137200
"Wayne County, TN",217610
"Jefferson County, WA",577441.3
"Stephenson County, IL",104703.846153846
"Clay County, IA",183379.310344828
"Lampasas County, TX",305120.757575758
"Hancock County, OH",200085.135135135
"New York County, NY",3132376.52040816
"Miami County, IN",120510.892857143
"Haskell County, TX",135368
"Woodford County, KY",322210.838709677
"Randall County, TX",327219.625
"Kent County, MI",308861.511627907
"Colusa County, CA",447333.285714286
"Spink County, SD",210714.285714286
"Nye County, NV",346168.382352941
"Adair County, KY",185466.666666667
"Morrow County, OH",267302
"Haralson County, GA",279752.047619048
"Allegheny County, PA",232752.31
"Brown County, TX",200505.769230769
"Hendricks County, IN",287558.295454545
"Angelina County, TX",228660.897058824
"Mayes County, OK",224471.739130435
"Franklin County, IA",96609.5238095238
"Washington County, NC",114010
"Watauga County, NC",474553.571428571
"Greene County, GA",579158.892857143
"Trimble County, KY",238610
"Lorain County, OH",193801.041666667
"Audubon County, IA",93145
"Albany County, WY",350864.670731707
"Curry County, NM",221019.642857143
"Marshall County, IL",140350
"Hoke County, NC",270002.66
"Washington County, IA",193899.111111111
"Jackson Parish, LA",169075
"Overton County, TN",285788.636363636
"Knox County, IL",108306.060606061
"Merrick County, NE",187763.157894737
"Weakley County, TN",176382.608695652
"Stevens County, MN",157489.5
"Webster County, MO",295910.9375
"Ravalli County, MT",557168.042857143
"St. Landry Parish, LA",158809.090909091
"Washington County, MN",369531.510204082
"Anderson County, SC",245887.765306122
"Baltimore City County, MD",228048.5
"Portage County, WI",231581.081081081
"Carroll County, GA",269053.72972973
"Gray County, KS",207177.777777778
"Lewis County, ID",278916.666666667
"Fairbanks North Star Borough, AK",277363.75
"Bexar County, TX",271293.92
"Union County, NJ",512245.512820513
"LaSalle County, IL",159569.666666667
"Essex County, NJ",494702.25
"Caroline County, VA",321967.166666667
"Izard County, AR",178030
"White County, AR",181154.6
"Baker County, OR",278139.130434783
"Bledsoe County, TN",247335
"Klamath County, OR",324466.841463415
"Androscoggin County, ME",302535.365853659
"Hutchinson County, TX",150115
"Yamhill County, OR",426554.630434783
"Orangeburg County, SC",204097.470588235
"Sangamon County, IL",158991.397959184
"Delaware County, NY",211665
"Erie County, NY",232101.44
"Taylor County, TX",216705.743589744
"Broome County, NY",146210.54
"Hudson County, NJ",605376
"Putnam County, FL",241866.758064516
"Warren County, NJ",327048.529411765
"Grant County, NM",255956.25
"Franklin County, KS",200004.347826087
"Thurston County, NE",152166.666666667
"Addison County, VT",387095.857142857
"Randolph County, AR",131326.19047619
"Bland County, VA",197130.3125
"Boone County, IA",171474.137931034
"Linn County, IA",184528.630952381
"Lawrence County, AR",124395
"Lehigh County, PA",275869.04
"Mercer County, OH",198628.803571429
"St. Mary's County, MD",325687.725
"Avery County, NC",435192.567567568
"Polk County, IA",243243.6
"Tazewell County, IL",167384.9
"Poweshiek County, IA",185552.083333333
"Union County, AR",161700
"Bremer County, IA",198695
"Pike County, MO",141940.476190476
"Daviess County, MO",247825
"Payette County, ID",336016.833333333
"Larimer County, CO",522815.61
"Gaston County, NC",271611.469387755
"Hamilton County, IL",126493.75
"Gila County, AZ",423775
"Pike County, KY",172867.47826087
"Faulk County, SD",229750
"Moore County, TN",415960
"Hidalgo County, TX",262240.8
"Kent County, RI",361486.25
"Bergen County, NJ",623057.14
"Ogle County, IL",168434.939393939
"Clark County, OH",156250
"Jefferson County, NY",255869.514285714
"Trousdale County, TN",337876.19047619
"Cherokee County, GA",445081.622222222
"Williams County, OH",139892.5
"Henry County, IN",135627.03125
"Northampton County, VA",440494.5
"Clare County, MI",123963.043478261
"Southeast Fairbanks Census Area, AK",272185.714285714
"Suwannee County, FL",261498.826086957
"Rockcastle County, KY",174120
"Bibb County, GA",175324.425531915
"Green County, KY",172067.5
"Hot Springs County, WY",201588.421052632
"Van Buren County, MI",328113.529411765
"Clay County, IL",101709.047619048
"Marion County, AL",151728.571428571
"Bonner County, ID",564149.406976744
"El Paso County, TX",221088.85
"Kingfisher County, OK",225623.35
"Schuyler County, IL",146343.75
"Osage County, MO",203500
"Maricopa County, AZ",438674.6
"Hutchinson County, SD",197050
"Okfuskee County, OK",203950
"Oktibbeha County, MS",327200
"Bracken County, KY",146950
"Elko County, NV",336365.985294118
"Pitt County, NC",215965.78125
"Lee County, AL",292494.28125
"Burke County, NC",251131.617647059
"Jackson County, WI",182380.434782609
"Gonzales County, TX",214495
"Acadia Parish, LA",177714.285714286
"Ionia County, MI",221980
"Norfolk County, MA",656666.36
"Marion County, KY",182017.777777778
"Childress County, TX",112987.5
"Beaufort County, NC",285486.323529412
"Lackawanna County, PA",197264.341463415
"Douglas County, MO",299544.608695652
"Edwards County, KS",64525
"Chemung County, NY",120869.516666667
"Johnston County, OK",215487.5
"Columbia County, WA",252279.545454545
"Adams County, ND",157464.285714286
"Campbell County, SD",69000
"Franklin County, VA",458981.41025641
"Fergus County, MT",460857.142857143
"Routt County, CO",1081246.25
"Laramie County, WY",387000.90625
"Vernon County, MO",157621.739130435
"Windsor County, VT",351577.083333333
"Big Horn County, MT",166190
"Grant County, ND",117933.333333333
"Scurry County, TX",100759.428571429
"Unicoi County, TN",241191.304347826
"Chittenden County, VT",468514.58
"Lincoln County, NV",212286.5
"Sioux County, IA",230533.333333333
"Pinellas County, FL",404861.2
"Warren County, KY",276499.946428571
"Sutton County, TX",132664
"Chisago County, MN",328006.95
"Cape May County, NJ",692363.09
"Amador County, CA",499844.594594595
"Henry County, MO",165643.181818182
"Mahoning County, OH",148853.925
"Wythe County, VA",195730.24137931
"Hampton County, SC",206844.35
"New London County, CT",276478.75
"Missaukee County, MI",208735
"Garfield County, MT",74500
"Hamlin County, SD",291132.666666667
"Hamilton County, NE",286661.85
"Waukesha County, WI",391867.581395349
"Atoka County, OK",207200
"Waushara County, WI",236052.083333333
"Douglas County, NV",629439.284090909
"Barton County, KS",126819.047619048
"Wheeler County, GA",396914.285714286
"Bay County, FL",358889.79
"Yuma County, CO",216123.80952381
"Anderson County, KY",236376.19047619
"Butler County, KS",225938.9375
"Graham County, NC",312240
"Sheridan County, WY",431962.5
"Humboldt County, IA",144900
"Dauphin County, PA",202481.739583333
"Crawford County, WI",178302.083333333
"Logan County, IL",120064.583333333
"Mineral County, CO",440611.111111111
"Greene County, NY",335701.761363636
"Will County, IL",275177
"Wagoner County, OK",268742.409090909
"Glacier County, MT",208475
"Zapata County, TX",147570
"Uinta County, WY",281919.739130435
"Hennepin County, MN",341906.86
"Huron County, OH",166204.611111111
"Elliott County, KY",283342.666666667
"Wayne County, MS",246105.555555556
"Williams County, ND",273951.063829787
"Warren County, NC",360934.782608696
"Monroe County, KY",121445.454545455
"Somerset County, NJ",471566.59375
"Hardeman County, TN",177609.523809524
"Morton County, ND",402903.558139535
"Allendale County, SC",97000
"Starke County, IN",169131.25
"Taylor County, FL",207660.714285714
"Amelia County, VA",308040
"Wayne County, IA",107781.25
"Franklin County, VT",317590.329545455
"Door County, WI",376109.090909091
"Owyhee County, ID",355825
"Kittson County, MN",92708.3333333333
"Gallatin County, MT",738916.666666667
"Lexington, VA",322780.952380952
"Yellowstone County, MT",343141.95
"Hardin County, IA",120062.5
"Monona County, IA",175166.666666667
"Rockwall County, TX",365892.407894737
"Dakota County, MN",323492.21
"Burleson County, TX",280620
"Clay County, KY",185350
"Saline County, IL",87927.2727272727
"Glascock County, GA",153760
"Wayne County, NC",228704
"Hardee County, FL",241966.666666667
"Fond du Lac County, WI",227751.19047619
"Pawnee County, KS",103469.95
"Grant County, SD",196076.19047619
"Johnson County, GA",140431.25
"Cottonwood County, MN",174241.3125
"Buckingham County, VA",258400
"Grayson County, KY",214609.523809524
"Cumberland County, PA",260585.760869565
"District of Columbia, DC",760162.73
"Carroll County, MD",369543.75
"Polk County, AR",174365
"Saginaw County, MI",147829.425
"Tioga County, NY",152136.803571429
"Clearfield County, PA",124743.791666667
"Vernon Parish, LA",207729
"Vigo County, IN",122253.037037037
"Montgomery County, GA",332535.714285714
"Harrison County, OH",125885.714285714
"Bosque County, TX",226328.85
"Harrison County, IA",178540
"Williamson County, TX",411504.06122449
"Arapahoe County, CO",481442.47
"Eau Claire County, WI",256683.219512195
"McIntosh County, OK",215715.909090909
"Hopkins County, KY",176575
"Custer County, OK",170256.060606061
"Stanton County, KS",102277.75
"Lancaster County, NE",269793.74
"Ogemaw County, MI",176544.958333333
"Crisp County, GA",215335
"Lauderdale County, AL",208332.25
"Cochran County, TX",95625
"St. Martin Parish, LA",215829.545454545
"Carroll County, IL",116456.52173913
"Bibb County, AL",184515.15
"Columbia County, GA",301095.661764706
"Wabaunsee County, KS",192845
"Highlands County, FL",226875.285714286
"Fauquier County, VA",433239.024390244
"Webb County, TX",247207.142857143
"Franklin County, MS",170772.222222222
"Pike County, GA",399625
"Burt County, NE",145657.142857143
"Pettis County, MO",180710.833333333
"Palo Pinto County, TX",384500.694444444
"Lenoir County, NC",167371.982758621
"Dona Ana County, NM",273755.111111111
"Clark County, KS",102100
"Burnett County, WI",257660.416666667
"Renville County, MN",146493
"Neshoba County, MS",156269.85
"Morrill County, NE",124861.111111111
"Carteret County, NC",448305.454545455
"Crittenden County, AR",166158.333333333
"Harrisonburg, VA",260550.568181818
"Hale County, AL",223163.1
"McDowell County, NC",283160
"Lincoln County, CO",208916.666666667
"Elk County, PA",106492.105263158
"Chesterfield County, VA",353930.97826087
"Quitman County, GA",147125
"Shawano County, WI",225367.24137931
"Dallam County, TX",106125
"Pueblo County, CO",296126.826530612
"Leon County, TX",291620
"Wilson County, NC",215520.131578947
"Caddo Parish, LA",142409.428571429
"Eddy County, NM",237623.076923077
"Santa Barbara County, CA",954476.5
"Summit County, UT",1512636.08333333
"Berkshire County, MA",337901.136363636
"Robertson County, KY",123230
"Collingsworth County, TX",99350
"Mississippi County, MO",128618.761904762
"Hamblen County, TN",266771.08974359
"Marshall County, KY",225191.304347826
"Coconino County, AZ",591130.083333333
"Bannock County, ID",347179.34375
"Vermillion County, IN",110790
"Chase County, KS",119150
"Woodbury County, IA",212350
"Ben Hill County, GA",175050
"Kankakee County, IL",186898.755319149
"Umatilla County, OR",290260.291666667
"San Jacinto County, TX",211775.961538462
"Pottawatomie County, OK",200138.5625
"Henry County, OH",157859.32
"Hall County, TX",97407.375
"Pike County, AR",177565
"Inyo County, CA",441636.363636364
"Spokane County, WA",387645.05952381
"Transylvania County, NC",422722.87804878
"Fayette County, TX",412454.545454545
"Bradford County, FL",247370.416666667
"Greenwood County, SC",242556.25
"Warren County, MS",191528.571428571
"Calcasieu Parish, LA",216408.597560976
"Montcalm County, MI",215093.75
"Charlottesville, VA",412457.081395349
"Carroll County, IA",166200
"Lamoille County, VT",652285.348837209
"Lee County, KY",131625
"Phelps County, NE",174000
"Dewey County, OK",106500
"Whitley County, IN",228402.086206897
"Jefferson County, IA",155271.739130435
"Manassas Park, VA",421212.820512821
"Johnson County, KY",153681.818181818
"Washington County, NY",189426.883333333
"Monroe County, NY",192015
"Harmon County, OK",82666.6666666667
"Fremont County, IA",166750
"Emmet County, MI",396116
"Telfair County, GA",126540
"Clarke County, VA",517912.857142857
"Douglas County, IL",124231.02
"Tulare County, CA",333253.348837209
"Cook County, IL",320153.5
"Petersburg, VA",174815.714285714
"Logan County, AR",145920
"Cumberland County, NC",198867.97
"Yates County, NY",206537.4375
"Lake County, MT",585450
"Harrison County, TX",278636.296296296
"Gunnison County, CO",688587.634146341
"Hawaii County, HI",697443.75
"Sierra County, CA",402078.571428571
"Fentress County, TN",257070
"Bent County, CO",164690.476190476
"Coweta County, GA",355287.8125
"Wright County, MO",185891.304347826
"Norfolk, VA",295458.44
"Carroll County, KY",199917
"Vinton County, OH",236320
"Kitsap County, WA",477407.88
"York County, NE",196258.434782609
"Tripp County, SD",325666.666666667
"Santa Cruz County, AZ",276784.722222222
"Nottoway County, VA",173940
"Gibson County, IN",160675.25
"Washington County, MD",254924.521276596
"Adair County, OK",161458.85
"Nash County, NC",242895.8125
"Cloud County, KS",130725
"Robeson County, NC",212014.224137931
"Carbon County, WY",227468.413043478
"Deschutes County, OR",620891.387755102
"Carver County, MN",371863.427083333
"Flathead County, MT",629411.956521739
"McLennan County, TX",275798.634615385
"Wilson County, TX",464908.6
"Branch County, MI",179975
"Franklin County, MA",287205.548780488
"Pennington County, SD",325673.380952381
"Buena Vista County, IA",168115.384615385
"LaGrange County, IN",252351.19047619
"Rock Island County, IL",144683.145833333
"Milwaukee County, WI",219508.333333333
"Boise County, ID",525900
"Garfield County, UT",365857.142857143
"Ross County, OH",197169.35483871
"Columbia County, WI",314986.904761905
"Jackson County, IN",198481
